training_method,model_name,dataset_size%,train_samples,valid_samples,trainable_params,total_params,trainable_percentage,f1_score,exact_match,eval_loss,training_time_hours,emissions_rate_kg_per_s,emissions_kg,timestamp,duration_seconds,duration_hours,energy_consumed_kwh,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,cpu_power_w,gpu_power_w,ram_power_w,country_name,country_iso_code,region,cloud_provider,cloud_region,on_cloud,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size_gb,pue,codecarbon_version,lora_rank,num_shots
Full Fine-Tuning,BERT,25.0,32579,12134,108893186,108893186,100.0,0.5315848498407545,0.4415691445524971,1.732935070991516,0.09736775,3.585867971385888e-05,0.0125903194456865,2025-12-14T05:06:43,351.10939795199994,0.0975303883199999,0.0278164859792307,0.0041427302320145,0.0199701131983,0.0037036425489161,42.5,203.6639811163587,38.0,United States,USA,iowa,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,
Full Fine-Tuning,BERT,50.0,65159,12134,108893186,108893186,100.0,0.6560636544959633,0.568567661117521,1.281163215637207,0.1609595555555555,3.903715816398021e-05,0.0226424126208548,2025-12-14T05:17:28,580.0220529819999,0.1611172369394444,0.0500251289032816,0.0068441372119166,0.03706226159423,0.0061187300971349,42.5,229.60732779641063,38.0,United States,USA,iowa,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,
Full Fine-Tuning,BERT,80.0,104255,12134,108893186,108893186,100.0,0.6957081983709139,0.6084555793637713,1.1666713953018188,0.2505171111111111,3.96387838561063e-05,0.0357707000653388,2025-12-14T05:34:03,902.4166885440002,0.2506713023733334,0.0790301772029822,0.0106485924748256,0.0588617420893559,0.0095198426388005,42.5,232.89117791671987,38.0,United States,USA,iowa,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,
LoRA,BERT,80.0,104255,12134,148994,109042180,0.1366388676381928,0.5290310925362814,0.4540959287951212,1.3680174350738523,0.2558708888888889,3.5181430609966366e-05,0.0324279087990697,2025-12-14T05:49:50,921.7336599689996,0.2560371277691666,0.0716447644030293,0.0108762002797437,0.05104518389167,0.0097233802316155,42.5,199.21967267670013,38.0,United States,USA,iowa,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,4.0,
LoRA,BERT,80.0,104255,12134,296450,109189636,0.2715001266237393,0.5622675270901892,0.4822811933410252,1.3183404207229614,0.2546973333333333,3.503765755440013e-05,0.0321475711793205,2025-12-14T06:05:35,917.5148518249998,0.2548652366180555,0.0710253990642193,0.0108261751072257,0.0505204934719179,0.0096787304850755,42.5,197.92573613305865,38.0,United States,USA,iowa,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,8.0,
LoRA,BERT,80.0,104255,12134,591362,109484548,0.5401328413942029,0.600994191551079,0.520768089665403,1.255730390548706,0.2556982777777777,3.5027924289383924e-05,0.0322647486417778,2025-12-14T06:21:24,921.1150616640008,0.2558652949066669,0.0712842856838627,0.0108690880051854,0.050698260836354,0.0097169368423233,42.5,197.98607720269263,38.0,United States,USA,iowa,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,16.0,
Few-Shot (Frozen Backbone),BERT,,100,12134,1538,108893186,0.0014123932419426,0.0144236673357424,0.0004944783253667,5.77177619934082,0.0563685833333333,3.4351115151552604e-05,0.0069912301097631,2025-12-14T06:25:15,203.5226536,0.0565340704444444,0.015446109621343,0.0024014594494208,0.0108977170515,0.0021469331204222,42.5,192.70557823465805,38.0,United States,USA,iowa,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,100.0
Few-Shot (Frozen Backbone),BERT,,500,12134,1538,108893186,0.0014123932419426,0.0703906602933806,0.0599967034778308,4.253273963928223,0.0585145,3.435504828514973e-05,0.0072577062057934,2025-12-14T06:29:10,211.25588721500023,0.0586821908930556,0.0160348499325801,0.0024927828575138,0.011313480717444,0.0022285863576222,42.5,187.582564950394,38.0,United States,USA,iowa,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,500.0
Few-Shot (Frozen Backbone),BERT,,1000,12134,1538,108893186,0.0014123932419426,0.0311465492482505,0.0131860886764463,4.1435747146606445,0.0626390277777777,3.3856079222208054e-05,0.0076549236292919,2025-12-14T06:33:19,226.10189381500004,0.0628060816152777,0.0169124442572607,0.0026673215694819,0.011860537821756,0.0023845848660227,42.5,184.13358134707696,38.0,United States,USA,iowa,,,N,Linux-6.6.105+-x86_64-with-glibc2.35,3.12.12,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,83.47371673583984,1.0,3.2.0,,1000.0
